id,user_id,cruzeiro_id,quantidade_passageiros,quantidade_cabines,valor_total,status
63528ec2-2cc6-40b3-9472-dd46fb90c3c0,andrea.oquendo,10,10,3,383560,pendente
7a8355d0-18e2-4d21-9b32-ac5fced526b2,andrea.oquendo,10,10,3,383560,pendente
ed5d07b3-c848-4cb0-a305-7b2b856cfc1b,andrea.oquendo,10,10,3,383560,pendente
d57ead8c-eebb-40f1-8dcb-cd70d0936068,andrea.oquendo,10,10,3,383560,pendente
179bec87-37ad-40dc-b4a0-f83af5583d0c,andrea.oquendo,10,10,3,383560,pendente
5d84985b-bcad-4157-a81b-628cdfbbd229,andrea.oquendo,10,10,3,383560,pendente
0e450ec2-37ea-42ee-980b-f698bb8df08d,andrea.oquendo,10,10,3,383560,pendente
79c1830c-6cba-40e9-829e-6a0f49c85fcb,andrea.oquendo,10,10,3,383560,pendente
847c0e9f-511b-4dc0-bf69-0611799ef505,andrea.oquendo,10,10,3,383560,pendente
4402bdb4-7896-4435-a46a-83dbe7b90cfa,andrea.oquendo,10,10,3,383560,pendente
7cc8e0d8-a971-4288-af7c-432633868461,juninho,6,2,1,17400,pendente
63288f2b-7368-4e41-b368-9d94c4a9ce25,andi,7,5,3,46000,pendente
f73bfd07-e50b-4d56-bc95-68184d0e9236,andrea.oquendo,10,10,3,383560,pendente
6a0c14b9-a4e5-4325-b062-ac3122ab5f8d,andrea.oquendo,10,10,3,383560,pendente
05b887ea-4c1b-4253-a5de-ee56e4881edf,andi,6,5,3,43500,pendente
1d365bee-2b22-498c-85e6-e32b33069583,andrea.oquendo,10,10,3,383560,pendente
34843803-76fb-460f-b515-8c031037787a,andrea.oquendo,10,10,3,383560,pendente
c4b0406d-ee08-4715-aa66-b01014735625,andrea.oquendo,10,10,3,383560,pendente
1bde65b4-cf01-4132-83a2-80f2c78ae72f,andi,2,8,4,63200,pendente
53a949a3-ad1b-4a31-92ba-6933a9ee6683,a,2,1,1,7900,pendente
25aa3a09-40bd-4ec5-bcf5-501f5c263bd7,a,2,1,1,7900,pendente
88ac0451-0a49-41ad-b23e-6d00a2b02250,a,3,3,2,11400,pendente
93007e1c-be98-4d01-b0a8-36c95927f0ff,aaaa,2,3,3,23700,pendente
d33ae796-1ef7-4a98-96aa-c7c99319af5a,bb,2,1,1,7900,pendente
24f9ba8e-03d5-4f2e-807a-8a9c861a5dae,c,3,1,1,3800,pendente
d47e4824-e57b-418a-ad9c-36dd087b9a9c,dd,2,1,1,7900,pendente
f97bb280-725c-431e-a1c6-89bf74f28383,aa,2,1,1,7900,pendente
1ec24ef8-f915-4534-a770-285ed56ecfeb,1,4,2,2,5900,pendente
d3a1f714-040b-4011-a9de-d659936d44fc,a,7,2,1,18400,pendente
7729eeb1-7c20-4d9f-86a0-83865a018d1e,a,10,2,2,76712,pendente
